group,n_seeds,roc_auc_mean,roc_auc_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,brier_mean,brier_std,accuracy_mean,accuracy_std
baseline_cnn3d,3,0.9217691395663957,0.01014955919095725,0.7169820245979186,0.03217857612152852,0.8473069105691057,0.026284069131259576,0.8125,0.05412658773652741,0.8821138211382114,0.014656712501886137,0.0959549483931645,0.0069468086916740415,0.867741935483871,0.014060964334002196
baseline_prior,3,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.1661620367368033,0.0,0.7935483870967742,0.0
linear_probe,3,0.4356580284552845,0.01248656011854379,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.1664432137941111,9.711220968840798e-05,0.7935483870967742,0.0
lora,3,0.9180851964769647,0.01276666295848363,0.7046434514640975,0.01638635149065811,0.8299669715447154,0.020095745727644408,0.765625,0.05633673867912483,0.8943089430894309,0.01862835648356028,0.09221876491782911,0.00625369065326753,0.867741935483871,0.006451612903225767
